RackID,Community Area,Community Name,TotInstall,Latitude,Longitude
1409,40,Washington Park,1,41.8019,-87.625808
1989,32,Loop,3,41.879382,-87.627517
6379,8,Near North Side,1,41.893974,-87.627945
651,32,Loop,1,41.8781,-87.627495
3058,32,Loop,2,41.8781,-87.627495
5019,32,Loop,2,41.8781,-87.627495
4004,32,Loop,3,41.886752,-87.627907
6162,32,Loop,1,41.886752,-87.627907
2429,32,Loop,2,41.882059,-87.6308
957,32,Loop,1,41.882014,-87.635242
3071,26,West Garfield Park,1,41.880839,-87.727945
6394,32,Loop,1,41.882136,-87.627724
4063,32,Loop,2,41.882023,-87.633753
2559,32,Loop,2,41.881865,-87.629267
2940,28,Near West Side,1,41.881643,-87.647206
3451,32,Loop,1,41.881974,-87.624027
3990,32,Loop,2,41.881969,-87.626054
6398,32,Loop,2,41.881868,-87.636676
4087,32,Loop,2,41.881877,-87.633745
3512,32,Loop,3,41.880644,-87.627934
3716,32,Loop,1,41.878611,-87.629992
3087,27,East Garfield Park,3,41.880745,-87.706283
6370,27,East Garfield Park,1,41.880745,-87.706283
1025,28,Near West Side,1,41.881674,-87.638874
3755,28,Near West Side,1,41.881674,-87.638874
6407,28,Near West Side,1,41.881674,-87.638874
3991,32,Loop,1,41.881482,-87.626258
18,8,Near North Side,1,41.903298,-87.629075
3118,8,Near North Side,1,41.889383,-87.628459
3143,32,Loop,3,41.885892,-87.628341
3153,32,Loop,1,41.885824,-87.624439
4035,8,Near North Side,2,41.900133,-87.624935
5400,25,Austin,2,41.882286,-87.76498
2291,27,East Garfield Park,13,41.881855,-87.715858
5404,27,East Garfield Park,6,41.881855,-87.715858
2365,32,Loop,2,41.883306,-87.63097
2416,32,Loop,2,41.883306,-87.63097
6086,28,Near West Side,4,41.883322,-87.638644
2555,32,Loop,2,41.880652,-87.629441
3167,32,Loop,4,41.88085,-87.61757
3401,32,Loop,2,41.880788,-87.624512
3996,32,Loop,1,41.880641,-87.62628
971,32,Loop,1,41.880514,-87.637106
1537,44,Chatham,1,41.736354,-87.626741
1990,32,Loop,3,41.879484,-87.630868
2608,8,Near North Side,6,41.903993,-87.631607
3016,8,Near North Side,1,41.890936,-87.631276
3158,32,Loop,2,41.885822,-87.631094
3521,32,Loop,2,41.88079,-87.631001
4985,32,Loop,1,41.884539,-87.631022
5105,69,Greater Grand Crossing,1,41.757695,-87.599148
4634,24,West Town,1,41.899386,-87.696928
5870,24,West Town,1,41.899386,-87.696928
2536,8,Near North Side,5,41.900719,-87.630035
5364,24,West Town,1,41.899399,-87.699393
4652,8,Near North Side,2,41.900856,-87.624306
6331,8,Near North Side,1,41.900858,-87.624232
6224,24,West Town,1,41.899422,-87.6982
769,32,Loop,2,41.869902,-87.626045
1302,73,Washington Heights,3,41.698782,-87.647671
4620,6,Lake View,2,41.94737,-87.654465
5121,1,Rogers Park,2,42.003801,-87.657651
6230,28,Near West Side,1,41.883136,-87.652197
5406,6,Lake View,1,41.936331,-87.654096
4111,72,Beverly,1,41.711666,-87.681963
3685,74,Mount Greenwood,1,41.711137,-87.720903
4171,50,Pullman,5,41.712854,-87.59227
5186,50,Pullman,2,41.712854,-87.59227
6125,24,West Town,1,41.899822,-87.667282
5945,24,West Town,1,41.899661,-87.677036
4404,8,Near North Side,2,41.900724,-87.629731
6424,8,Near North Side,0,41.900724,-87.629731
2041,7,Lincoln Park,2,41.917967,-87.653438
4463,8,Near North Side,1,41.910751,-87.65324
3778,6,Lake View,3,41.943397,-87.654252
4044,28,Near West Side,3,41.882961,-87.652195
4180,7,Lincoln Park,2,41.928845,-87.653961
5175,72,Beverly,2,41.7115,-87.67674
4641,24,West Town,2,41.899422,-87.69696
6220,24,West Town,1,41.899526,-87.687101
3267,24,West Town,1,41.899628,-87.681865
4876,24,West Town,1,41.899628,-87.681865
6572,24,West Town,2,41.899628,-87.681865
4657,8,Near North Side,1,41.900937,-87.627408
6293,49,Roseland,1,41.711548,-87.620169
4268,52,East Side,1,41.712353,-87.53545
773,32,Loop,2,41.869905,-87.624293
5108,52,East Side,1,41.712291,-87.535134
4055,7,Lincoln Park,1,41.921553,-87.653795
6461,28,Near West Side,1,41.886609,-87.652556
2314,8,Near North Side,2,41.898203,-87.626094
2636,8,Near North Side,1,41.894021,-87.625241
3148,32,Loop,2,41.885695,-87.624438
4034,8,Near North Side,2,41.899864,-87.624928
3183,32,Loop,1,41.900775,-87.624073
